Region,Region2,Fuel,Value,,Unit,Source,Updated at,Updated by
SK,IE,Power,5.51,,M€/GW,,,
UK,IE,Power,5.51,,M€/GW,,,
EE,IE,Power,5.51,,M€/GW,,,
LT,IE,Power,5.51,,M€/GW,,,
LV,IE,Power,5.51,,M€/GW,,,
UA,IE,Power,5.51,,M€/GW,,,
RU,IE,Power,5.51,,M€/GW,,,
BY,IE,Power,5.51,,M€/GW,,,
NONEU_Balkan,IE,Power,5.51,,M€/GW,,,
TR,IE,Power,5.51,,M€/GW,,,
AL,IT,Power,5.51,,M€/GW,,,
AT,IT,Power,5.51,,M€/GW,,,
BA,IT,Power,5.51,,M€/GW,,,
BE,IT,Power,5.51,,M€/GW,,,
BG,IT,Power,5.51,,M€/GW,,,
CH,IT,Power,5.51,,M€/GW,,,
CZ,IT,Power,5.51,,M€/GW,,,
DE,IT,Power,5.51,,M€/GW,,,
DK,IT,Power,5.51,,M€/GW,,,
ES,IT,Power,5.51,,M€/GW,,,
FI,IT,Power,5.51,,M€/GW,,,
FR,IT,Power,5.51,,M€/GW,,,
GR,IT,Power,5.51,,M€/GW,,,
HR,IT,Power,5.51,,M€/GW,,,
HU,IT,Power,5.51,,M€/GW,,,
IE,IT,Power,5.51,,M€/GW,,,
IT,IT,Power,5.51,,M€/GW,,,
LU,IT,Power,5.51,,M€/GW,,,
ME,IT,Power,5.51,,M€/GW,,,
MK,IT,Power,5.51,,M€/GW,,,
NL,IT,Power,5.51,,M€/GW,,,
NO,IT,Power,5.51,,M€/GW,,,
PL,IT,Power,5.51,,M€/GW,,,
PT,IT,Power,5.51,,M€/GW,,,
RO,IT,Power,5.51,,M€/GW,,,
RS,IT,Power,5.51,,M€/GW,,,
SE,IT,Power,5.51,,M€/GW,,,
SI,IT,Power,5.51,,M€/GW,,,
SK,IT,Power,5.51,,M€/GW,,,
UK,IT,Power,5.51,,M€/GW,,,
EE,IT,Power,5.51,,M€/GW,,,
LT,IT,Power,5.51,,M€/GW,,,
LV,IT,Power,5.51,,M€/GW,,,
UA,IT,Power,5.51,,M€/GW,,,
RU,IT,Power,5.51,,M€/GW,,,
BY,IT,Power,5.51,,M€/GW,,,
NONEU_Balkan,IT,Power,5.51,,M€/GW,,,
TR,IT,Power,5.51,,M€/GW,,,
AL,LU,Power,5.51,,M€/GW,,,
AT,LU,Power,5.51,,M€/GW,,,
BA,LU,Power,5.51,,M€/GW,,,
BE,LU,Power,5.51,,M€/GW,,,
BG,LU,Power,5.51,,M€/GW,,,
CH,LU,Power,5.51,,M€/GW,,,
CZ,LU,Power,5.51,,M€/GW,,,
DE,LU,Power,5.51,,M€/GW,,,
DK,LU,Power,5.51,,M€/GW,,,
ES,LU,Power,5.51,,M€/GW,,,
FI,LU,Power,5.51,,M€/GW,,,
FR,LU,Power,5.51,,M€/GW,,,
GR,LU,Power,5.51,,M€/GW,,,
HR,LU,Power,5.51,,M€/GW,,,
HU,LU,Power,5.51,,M€/GW,,,
IE,LU,Power,5.51,,M€/GW,,,
IT,LU,Power,5.51,,M€/GW,,,
LU,LU,Power,5.51,,M€/GW,,,
ME,LU,Power,5.51,,M€/GW,,,
MK,LU,Power,5.51,,M€/GW,,,
NL,LU,Power,5.51,,M€/GW,,,
NO,LU,Power,5.51,,M€/GW,,,
PL,LU,Power,5.51,,M€/GW,,,
PT,LU,Power,5.51,,M€/GW,,,
RO,LU,Power,5.51,,M€/GW,,,
RS,LU,Power,5.51,,M€/GW,,,
SE,LU,Power,5.51,,M€/GW,,,
SI,LU,Power,5.51,,M€/GW,,,
SK,LU,Power,5.51,,M€/GW,,,
UK,LU,Power,5.51,,M€/GW,,,
EE,LU,Power,5.51,,M€/GW,,,
LT,LU,Power,5.51,,M€/GW,,,
LV,LU,Power,5.51,,M€/GW,,,
UA,LU,Power,5.51,,M€/GW,,,
RU,LU,Power,5.51,,M€/GW,,,
BY,LU,Power,5.51,,M€/GW,,,
NONEU_Balkan,LU,Power,5.51,,M€/GW,,,
TR,LU,Power,5.51,,M€/GW,,,
AL,ME,Power,5.51,,M€/GW,,,
AT,ME,Power,5.51,,M€/GW,,,
BA,ME,Power,5.51,,M€/GW,,,
BE,ME,Power,5.51,,M€/GW,,,
BG,ME,Power,5.51,,M€/GW,,,
CH,ME,Power,5.51,,M€/GW,,,
CZ,ME,Power,5.51,,M€/GW,,,
DE,ME,Power,5.51,,M€/GW,,,
DK,ME,Power,5.51,,M€/GW,,,
ES,ME,Power,5.51,,M€/GW,,,
FI,ME,Power,5.51,,M€/GW,,,
FR,ME,Power,5.51,,M€/GW,,,
GR,ME,Power,5.51,,M€/GW,,,
HR,ME,Power,5.51,,M€/GW,,,
HU,ME,Power,5.51,,M€/GW,,,
IE,ME,Power,5.51,,M€/GW,,,
IT,ME,Power,5.51,,M€/GW,,,
LU,ME,Power,5.51,,M€/GW,,,
ME,ME,Power,5.51,,M€/GW,,,
MK,ME,Power,5.51,,M€/GW,,,
NL,ME,Power,5.51,,M€/GW,,,
NO,ME,Power,5.51,,M€/GW,,,
PL,ME,Power,5.51,,M€/GW,,,
PT,ME,Power,5.51,,M€/GW,,,
RO,ME,Power,5.51,,M€/GW,,,
RS,ME,Power,5.51,,M€/GW,,,
SE,ME,Power,5.51,,M€/GW,,,
SI,ME,Power,5.51,,M€/GW,,,
SK,ME,Power,5.51,,M€/GW,,,
UK,ME,Power,5.51,,M€/GW,,,
EE,ME,Power,5.51,,M€/GW,,,
LT,ME,Power,5.51,,M€/GW,,,
LV,ME,Power,5.51,,M€/GW,,,
UA,ME,Power,5.51,,M€/GW,,,
RU,ME,Power,5.51,,M€/GW,,,
BY,ME,Power,5.51,,M€/GW,,,
NONEU_Balkan,ME,Power,5.51,,M€/GW,,,
TR,ME,Power,5.51,,M€/GW,,,
AL,MK,Power,5.51,,M€/GW,,,
AT,MK,Power,5.51,,M€/GW,,,
BA,MK,Power,5.51,,M€/GW,,,
BE,MK,Power,5.51,,M€/GW,,,
BG,MK,Power,5.51,,M€/GW,,,
CH,MK,Power,5.51,,M€/GW,,,
CZ,MK,Power,5.51,,M€/GW,,,
DE,MK,Power,5.51,,M€/GW,,,
DK,MK,Power,5.51,,M€/GW,,,
ES,MK,Power,5.51,,M€/GW,,,
FI,MK,Power,5.51,,M€/GW,,,
FR,MK,Power,5.51,,M€/GW,,,
GR,MK,Power,5.51,,M€/GW,,,
HR,MK,Power,5.51,,M€/GW,,,
HU,MK,Power,5.51,,M€/GW,,,
IE,MK,Power,5.51,,M€/GW,,,
IT,MK,Power,5.51,,M€/GW,,,
LU,MK,Power,5.51,,M€/GW,,,
ME,MK,Power,5.51,,M€/GW,,,
MK,MK,Power,5.51,,M€/GW,,,
NL,MK,Power,5.51,,M€/GW,,,
NO,MK,Power,5.51,,M€/GW,,,
PL,MK,Power,5.51,,M€/GW,,,
PT,MK,Power,5.51,,M€/GW,,,
RO,MK,Power,5.51,,M€/GW,,,
RS,MK,Power,5.51,,M€/GW,,,
SE,MK,Power,5.51,,M€/GW,,,
SI,MK,Power,5.51,,M€/GW,,,
SK,MK,Power,5.51,,M€/GW,,,
UK,MK,Power,5.51,,M€/GW,,,
EE,MK,Power,5.51,,M€/GW,,,
LT,MK,Power,5.51,,M€/GW,,,
LV,MK,Power,5.51,,M€/GW,,,
UA,MK,Power,5.51,,M€/GW,,,
RU,MK,Power,5.51,,M€/GW,,,
BY,MK,Power,5.51,,M€/GW,,,
NONEU_Balkan,MK,Power,5.51,,M€/GW,,,
TR,MK,Power,5.51,,M€/GW,,,
AL,NL,Power,5.51,,M€/GW,,,
AT,NL,Power,5.51,,M€/GW,,,
BA,NL,Power,5.51,,M€/GW,,,
BE,NL,Power,5.51,,M€/GW,,,
BG,NL,Power,5.51,,M€/GW,,,
CH,NL,Power,5.51,,M€/GW,,,
CZ,NL,Power,5.51,,M€/GW,,,
DE,NL,Power,5.51,,M€/GW,,,
DK,NL,Power,5.51,,M€/GW,,,
ES,NL,Power,5.51,,M€/GW,,,
FI,NL,Power,5.51,,M€/GW,,,
FR,NL,Power,5.51,,M€/GW,,,
GR,NL,Power,5.51,,M€/GW,,,
HR,NL,Power,5.51,,M€/GW,,,
HU,NL,Power,5.51,,M€/GW,,,
IE,NL,Power,5.51,,M€/GW,,,
IT,NL,Power,5.51,,M€/GW,,,
LU,NL,Power,5.51,,M€/GW,,,
ME,NL,Power,5.51,,M€/GW,,,
MK,NL,Power,5.51,,M€/GW,,,
NL,NL,Power,5.51,,M€/GW,,,
NO,NL,Power,5.51,,M€/GW,,,
PL,NL,Power,5.51,,M€/GW,,,
PT,NL,Power,5.51,,M€/GW,,,
RO,NL,Power,5.51,,M€/GW,,,
RS,NL,Power,5.51,,M€/GW,,,
SE,NL,Power,5.51,,M€/GW,,,
SI,NL,Power,5.51,,M€/GW,,,
SK,NL,Power,5.51,,M€/GW,,,
UK,NL,Power,5.51,,M€/GW,,,
EE,NL,Power,5.51,,M€/GW,,,
LT,NL,Power,5.51,,M€/GW,,,
LV,NL,Power,5.51,,M€/GW,,,
UA,NL,Power,5.51,,M€/GW,,,
RU,NL,Power,5.51,,M€/GW,,,
BY,NL,Power,5.51,,M€/GW,,,
NONEU_Balkan,NL,Power,5.51,,M€/GW,,,
TR,NL,Power,5.51,,M€/GW,,,
AL,NO,Power,5.51,,M€/GW,,,
AT,NO,Power,5.51,,M€/GW,,,
BA,NO,Power,5.51,,M€/GW,,,
BE,NO,Power,5.51,,M€/GW,,,
BG,NO,Power,5.51,,M€/GW,,,
CH,NO,Power,5.51,,M€/GW,,,
CZ,NO,Power,5.51,,M€/GW,,,
DE,NO,Power,5.51,,M€/GW,,,
DK,NO,Power,5.51,,M€/GW,,,
ES,NO,Power,5.51,,M€/GW,,,
FI,NO,Power,5.51,,M€/GW,,,
FR,NO,Power,5.51,,M€/GW,,,
GR,NO,Power,5.51,,M€/GW,,,
HR,NO,Power,5.51,,M€/GW,,,
HU,NO,Power,5.51,,M€/GW,,,
IE,NO,Power,5.51,,M€/GW,,,
IT,NO,Power,5.51,,M€/GW,,,
LU,NO,Power,5.51,,M€/GW,,,
ME,NO,Power,5.51,,M€/GW,,,
MK,NO,Power,5.51,,M€/GW,,,
NL,NO,Power,5.51,,M€/GW,,,
NO,NO,Power,5.51,,M€/GW,,,
PL,NO,Power,5.51,,M€/GW,,,
PT,NO,Power,5.51,,M€/GW,,,
RO,NO,Power,5.51,,M€/GW,,,
RS,NO,Power,5.51,,M€/GW,,,
SE,NO,Power,5.51,,M€/GW,,,
SI,NO,Power,5.51,,M€/GW,,,
SK,NO,Power,5.51,,M€/GW,,,
UK,NO,Power,5.51,,M€/GW,,,
EE,NO,Power,5.51,,M€/GW,,,
LT,NO,Power,5.51,,M€/GW,,,
LV,NO,Power,5.51,,M€/GW,,,
UA,NO,Power,5.51,,M€/GW,,,
RU,NO,Power,5.51,,M€/GW,,,
BY,NO,Power,5.51,,M€/GW,,,
NONEU_Balkan,NO,Power,5.51,,M€/GW,,,
TR,NO,Power,5.51,,M€/GW,,,
AL,PL,Power,5.51,,M€/GW,,,
AT,PL,Power,5.51,,M€/GW,,,
BA,PL,Power,5.51,,M€/GW,,,
BE,PL,Power,5.51,,M€/GW,,,
BG,PL,Power,5.51,,M€/GW,,,
CH,PL,Power,5.51,,M€/GW,,,
CZ,PL,Power,5.51,,M€/GW,,,
DE,PL,Power,5.51,,M€/GW,,,
DK,PL,Power,5.51,,M€/GW,,,
ES,PL,Power,5.51,,M€/GW,,,
FI,PL,Power,5.51,,M€/GW,,,
FR,PL,Power,5.51,,M€/GW,,,
GR,PL,Power,5.51,,M€/GW,,,
HR,PL,Power,5.51,,M€/GW,,,
HU,PL,Power,5.51,,M€/GW,,,
IE,PL,Power,5.51,,M€/GW,,,
IT,PL,Power,5.51,,M€/GW,,,
LU,PL,Power,5.51,,M€/GW,,,
ME,PL,Power,5.51,,M€/GW,,,
MK,PL,Power,5.51,,M€/GW,,,
NL,PL,Power,5.51,,M€/GW,,,
NO,PL,Power,5.51,,M€/GW,,,
PL,PL,Power,5.51,,M€/GW,,,
PT,PL,Power,5.51,,M€/GW,,,
RO,PL,Power,5.51,,M€/GW,,,
RS,PL,Power,5.51,,M€/GW,,,
SE,PL,Power,5.51,,M€/GW,,,
SI,PL,Power,5.51,,M€/GW,,,
SK,PL,Power,5.51,,M€/GW,,,
UK,PL,Power,5.51,,M€/GW,,,
EE,PL,Power,5.51,,M€/GW,,,
LT,PL,Power,5.51,,M€/GW,,,
LV,PL,Power,5.51,,M€/GW,,,
UA,PL,Power,5.51,,M€/GW,,,
RU,PL,Power,5.51,,M€/GW,,,
BY,PL,Power,5.51,,M€/GW,,,
NONEU_Balkan,PL,Power,5.51,,M€/GW,,,
TR,PL,Power,5.51,,M€/GW,,,
AL,PT,Power,5.51,,M€/GW,,,
AT,PT,Power,5.51,,M€/GW,,,
BA,PT,Power,5.51,,M€/GW,,,
BE,PT,Power,5.51,,M€/GW,,,
BG,PT,Power,5.51,,M€/GW,,,
CH,PT,Power,5.51,,M€/GW,,,
CZ,PT,Power,5.51,,M€/GW,,,
DE,PT,Power,5.51,,M€/GW,,,
DK,PT,Power,5.51,,M€/GW,,,
ES,PT,Power,5.51,,M€/GW,,,
FI,PT,Power,5.51,,M€/GW,,,
FR,PT,Power,5.51,,M€/GW,,,
GR,PT,Power,5.51,,M€/GW,,,
HR,PT,Power,5.51,,M€/GW,,,
HU,PT,Power,5.51,,M€/GW,,,
IE,PT,Power,5.51,,M€/GW,,,
IT,PT,Power,5.51,,M€/GW,,,
LU,PT,Power,5.51,,M€/GW,,,
ME,PT,Power,5.51,,M€/GW,,,
MK,PT,Power,5.51,,M€/GW,,,
NL,PT,Power,5.51,,M€/GW,,,
NO,PT,Power,5.51,,M€/GW,,,
PL,PT,Power,5.51,,M€/GW,,,
PT,PT,Power,5.51,,M€/GW,,,
RO,PT,Power,5.51,,M€/GW,,,
RS,PT,Power,5.51,,M€/GW,,,
SE,PT,Power,5.51,,M€/GW,,,
SI,PT,Power,5.51,,M€/GW,,,
SK,PT,Power,5.51,,M€/GW,,,
UK,PT,Power,5.51,,M€/GW,,,
EE,PT,Power,5.51,,M€/GW,,,
LT,PT,Power,5.51,,M€/GW,,,
LV,PT,Power,5.51,,M€/GW,,,
UA,PT,Power,5.51,,M€/GW,,,
RU,PT,Power,5.51,,M€/GW,,,
BY,PT,Power,5.51,,M€/GW,,,
NONEU_Balkan,PT,Power,5.51,,M€/GW,,,
TR,PT,Power,5.51,,M€/GW,,,
AL,RO,Power,5.51,,M€/GW,,,
AT,RO,Power,5.51,,M€/GW,,,
BA,RO,Power,5.51,,M€/GW,,,
BE,RO,Power,5.51,,M€/GW,,,
BG,RO,Power,5.51,,M€/GW,,,
CH,RO,Power,5.51,,M€/GW,,,
CZ,RO,Power,5.51,,M€/GW,,,
DE,RO,Power,5.51,,M€/GW,,,
DK,RO,Power,5.51,,M€/GW,,,
ES,RO,Power,5.51,,M€/GW,,,
FI,RO,Power,5.51,,M€/GW,,,
FR,RO,Power,5.51,,M€/GW,,,
GR,RO,Power,5.51,,M€/GW,,,
HR,RO,Power,5.51,,M€/GW,,,
HU,RO,Power,5.51,,M€/GW,,,
IE,RO,Power,5.51,,M€/GW,,,
IT,RO,Power,5.51,,M€/GW,,,
LU,RO,Power,5.51,,M€/GW,,,
ME,RO,Power,5.51,,M€/GW,,,
MK,RO,Power,5.51,,M€/GW,,,
NL,RO,Power,5.51,,M€/GW,,,
NO,RO,Power,5.51,,M€/GW,,,
PL,RO,Power,5.51,,M€/GW,,,
PT,RO,Power,5.51,,M€/GW,,,
RO,RO,Power,5.51,,M€/GW,,,
RS,RO,Power,5.51,,M€/GW,,,
SE,RO,Power,5.51,,M€/GW,,,
SI,RO,Power,5.51,,M€/GW,,,
SK,RO,Power,5.51,,M€/GW,,,
UK,RO,Power,5.51,,M€/GW,,,
EE,RO,Power,5.51,,M€/GW,,,
LT,RO,Power,5.51,,M€/GW,,,
LV,RO,Power,5.51,,M€/GW,,,
UA,RO,Power,5.51,,M€/GW,,,
RU,RO,Power,5.51,,M€/GW,,,
BY,RO,Power,5.51,,M€/GW,,,
NONEU_Balkan,RO,Power,5.51,,M€/GW,,,
TR,RO,Power,5.51,,M€/GW,,,
AL,RS,Power,5.51,,M€/GW,,,
AT,RS,Power,5.51,,M€/GW,,,
BA,RS,Power,5.51,,M€/GW,,,
BE,RS,Power,5.51,,M€/GW,,,
BG,RS,Power,5.51,,M€/GW,,,
CH,RS,Power,5.51,,M€/GW,,,
CZ,RS,Power,5.51,,M€/GW,,,
DE,RS,Power,5.51,,M€/GW,,,
DK,RS,Power,5.51,,M€/GW,,,
ES,RS,Power,5.51,,M€/GW,,,
FI,RS,Power,5.51,,M€/GW,,,
FR,RS,Power,5.51,,M€/GW,,,
GR,RS,Power,5.51,,M€/GW,,,
HR,RS,Power,5.51,,M€/GW,,,
HU,RS,Power,5.51,,M€/GW,,,
IE,RS,Power,5.51,,M€/GW,,,
IT,RS,Power,5.51,,M€/GW,,,
LU,RS,Power,5.51,,M€/GW,,,
ME,RS,Power,5.51,,M€/GW,,,
MK,RS,Power,5.51,,M€/GW,,,
NL,RS,Power,5.51,,M€/GW,,,
NO,RS,Power,5.51,,M€/GW,,,
PL,RS,Power,5.51,,M€/GW,,,
PT,RS,Power,5.51,,M€/GW,,,
RO,RS,Power,5.51,,M€/GW,,,
RS,RS,Power,5.51,,M€/GW,,,
SE,RS,Power,5.51,,M€/GW,,,
SI,RS,Power,5.51,,M€/GW,,,
SK,RS,Power,5.51,,M€/GW,,,
UK,RS,Power,5.51,,M€/GW,,,
EE,RS,Power,5.51,,M€/GW,,,
LT,RS,Power,5.51,,M€/GW,,,
LV,RS,Power,5.51,,M€/GW,,,
UA,RS,Power,5.51,,M€/GW,,,
RU,RS,Power,5.51,,M€/GW,,,
BY,RS,Power,5.51,,M€/GW,,,
NONEU_Balkan,RS,Power,5.51,,M€/GW,,,
TR,RS,Power,5.51,,M€/GW,,,
AL,SE,Power,5.51,,M€/GW,,,
AT,SE,Power,5.51,,M€/GW,,,
BA,SE,Power,5.51,,M€/GW,,,
BE,SE,Power,5.51,,M€/GW,,,
BG,SE,Power,5.51,,M€/GW,,,
CH,SE,Power,5.51,,M€/GW,,,
CZ,SE,Power,5.51,,M€/GW,,,
DE,SE,Power,5.51,,M€/GW,,,
DK,SE,Power,5.51,,M€/GW,,,
ES,SE,Power,5.51,,M€/GW,,,
FI,SE,Power,5.51,,M€/GW,,,
FR,SE,Power,5.51,,M€/GW,,,
GR,SE,Power,5.51,,M€/GW,,,
HR,SE,Power,5.51,,M€/GW,,,
HU,SE,Power,5.51,,M€/GW,,,
IE,SE,Power,5.51,,M€/GW,,,
IT,SE,Power,5.51,,M€/GW,,,
LU,SE,Power,5.51,,M€/GW,,,
ME,SE,Power,5.51,,M€/GW,,,
MK,SE,Power,5.51,,M€/GW,,,
NL,SE,Power,5.51,,M€/GW,,,
NO,SE,Power,5.51,,M€/GW,,,
PL,SE,Power,5.51,,M€/GW,,,
PT,SE,Power,5.51,,M€/GW,,,
RO,SE,Power,5.51,,M€/GW,,,
RS,SE,Power,5.51,,M€/GW,,,
SE,SE,Power,5.51,,M€/GW,,,
SI,SE,Power,5.51,,M€/GW,,,
SK,SE,Power,5.51,,M€/GW,,,
UK,SE,Power,5.51,,M€/GW,,,
EE,SE,Power,5.51,,M€/GW,,,
LT,SE,Power,5.51,,M€/GW,,,
LV,SE,Power,5.51,,M€/GW,,,
UA,SE,Power,5.51,,M€/GW,,,
RU,SE,Power,5.51,,M€/GW,,,
BY,SE,Power,5.51,,M€/GW,,,
NONEU_Balkan,SE,Power,5.51,,M€/GW,,,
TR,SE,Power,5.51,,M€/GW,,,
AL,SI,Power,5.51,,M€/GW,,,
AT,SI,Power,5.51,,M€/GW,,,
BA,SI,Power,5.51,,M€/GW,,,
BE,SI,Power,5.51,,M€/GW,,,
BG,SI,Power,5.51,,M€/GW,,,
CH,SI,Power,5.51,,M€/GW,,,
CZ,SI,Power,5.51,,M€/GW,,,
DE,SI,Power,5.51,,M€/GW,,,
DK,SI,Power,5.51,,M€/GW,,,
ES,SI,Power,5.51,,M€/GW,,,
FI,SI,Power,5.51,,M€/GW,,,
FR,SI,Power,5.51,,M€/GW,,,
GR,SI,Power,5.51,,M€/GW,,,
HR,SI,Power,5.51,,M€/GW,,,
HU,SI,Power,5.51,,M€/GW,,,
IE,SI,Power,5.51,,M€/GW,,,
IT,SI,Power,5.51,,M€/GW,,,
LU,SI,Power,5.51,,M€/GW,,,
ME,SI,Power,5.51,,M€/GW,,,
MK,SI,Power,5.51,,M€/GW,,,
NL,SI,Power,5.51,,M€/GW,,,
NO,SI,Power,5.51,,M€/GW,,,
PL,SI,Power,5.51,,M€/GW,,,
PT,SI,Power,5.51,,M€/GW,,,
RO,SI,Power,5.51,,M€/GW,,,
RS,SI,Power,5.51,,M€/GW,,,
SE,SI,Power,5.51,,M€/GW,,,
SI,SI,Power,5.51,,M€/GW,,,
SK,SI,Power,5.51,,M€/GW,,,
UK,SI,Power,5.51,,M€/GW,,,
EE,SI,Power,5.51,,M€/GW,,,
LT,SI,Power,5.51,,M€/GW,,,
LV,SI,Power,5.51,,M€/GW,,,
UA,SI,Power,5.51,,M€/GW,,,
RU,SI,Power,5.51,,M€/GW,,,
BY,SI,Power,5.51,,M€/GW,,,
NONEU_Balkan,SI,Power,5.51,,M€/GW,,,
TR,SI,Power,5.51,,M€/GW,,,
AL,SK,Power,5.51,,M€/GW,,,
AT,SK,Power,5.51,,M€/GW,,,
BA,SK,Power,5.51,,M€/GW,,,
BE,SK,Power,5.51,,M€/GW,,,
BG,SK,Power,5.51,,M€/GW,,,
CH,SK,Power,5.51,,M€/GW,,,
CZ,SK,Power,5.51,,M€/GW,,,
DE,SK,Power,5.51,,M€/GW,,,
DK,SK,Power,5.51,,M€/GW,,,
ES,SK,Power,5.51,,M€/GW,,,
FI,SK,Power,5.51,,M€/GW,,,
FR,SK,Power,5.51,,M€/GW,,,
GR,SK,Power,5.51,,M€/GW,,,
HR,SK,Power,5.51,,M€/GW,,,
HU,SK,Power,5.51,,M€/GW,,,
IE,SK,Power,5.51,,M€/GW,,,
IT,SK,Power,5.51,,M€/GW,,,
LU,SK,Power,5.51,,M€/GW,,,
ME,SK,Power,5.51,,M€/GW,,,
MK,SK,Power,5.51,,M€/GW,,,
NL,SK,Power,5.51,,M€/GW,,,
NO,SK,Power,5.51,,M€/GW,,,
PL,SK,Power,5.51,,M€/GW,,,
PT,SK,Power,5.51,,M€/GW,,,
RO,SK,Power,5.51,,M€/GW,,,
RS,SK,Power,5.51,,M€/GW,,,
SE,SK,Power,5.51,,M€/GW,,,
SI,SK,Power,5.51,,M€/GW,,,
SK,SK,Power,5.51,,M€/GW,,,
UK,SK,Power,5.51,,M€/GW,,,
EE,SK,Power,5.51,,M€/GW,,,
LT,SK,Power,5.51,,M€/GW,,,
LV,SK,Power,5.51,,M€/GW,,,
UA,SK,Power,5.51,,M€/GW,,,
RU,SK,Power,5.51,,M€/GW,,,
BY,SK,Power,5.51,,M€/GW,,,
NONEU_Balkan,SK,Power,5.51,,M€/GW,,,
TR,SK,Power,5.51,,M€/GW,,,
AL,UK,Power,5.51,,M€/GW,,,
AT,UK,Power,5.51,,M€/GW,,,
BA,UK,Power,5.51,,M€/GW,,,
BE,UK,Power,5.51,,M€/GW,,,
BG,UK,Power,5.51,,M€/GW,,,
CH,UK,Power,5.51,,M€/GW,,,
CZ,UK,Power,5.51,,M€/GW,,,
DE,UK,Power,5.51,,M€/GW,,,
DK,UK,Power,5.51,,M€/GW,,,
ES,UK,Power,5.51,,M€/GW,,,
FI,UK,Power,5.51,,M€/GW,,,
FR,UK,Power,5.51,,M€/GW,,,
GR,UK,Power,5.51,,M€/GW,,,
HR,UK,Power,5.51,,M€/GW,,,
HU,UK,Power,5.51,,M€/GW,,,
IE,UK,Power,5.51,,M€/GW,,,
IT,UK,Power,5.51,,M€/GW,,,
LU,UK,Power,5.51,,M€/GW,,,
ME,UK,Power,5.51,,M€/GW,,,
MK,UK,Power,5.51,,M€/GW,,,
NL,UK,Power,5.51,,M€/GW,,,
NO,UK,Power,5.51,,M€/GW,,,
PL,UK,Power,5.51,,M€/GW,,,
PT,UK,Power,5.51,,M€/GW,,,
RO,UK,Power,5.51,,M€/GW,,,
RS,UK,Power,5.51,,M€/GW,,,
SE,UK,Power,5.51,,M€/GW,,,
SI,UK,Power,5.51,,M€/GW,,,
SK,UK,Power,5.51,,M€/GW,,,
UK,UK,Power,5.51,,M€/GW,,,
EE,UK,Power,5.51,,M€/GW,,,
LT,UK,Power,5.51,,M€/GW,,,
LV,UK,Power,5.51,,M€/GW,,,
UA,UK,Power,5.51,,M€/GW,,,
RU,UK,Power,5.51,,M€/GW,,,
BY,UK,Power,5.51,,M€/GW,,,
NONEU_Balkan,UK,Power,5.51,,M€/GW,,,
TR,UK,Power,5.51,,M€/GW,,,
AL,EE,Power,5.51,,M€/GW,,,
AT,EE,Power,5.51,,M€/GW,,,
BA,EE,Power,5.51,,M€/GW,,,
BE,EE,Power,5.51,,M€/GW,,,
BG,EE,Power,5.51,,M€/GW,,,
CH,EE,Power,5.51,,M€/GW,,,
CZ,EE,Power,5.51,,M€/GW,,,
DE,EE,Power,5.51,,M€/GW,,,
DK,EE,Power,5.51,,M€/GW,,,
ES,EE,Power,5.51,,M€/GW,,,
FI,EE,Power,5.51,,M€/GW,,,
FR,EE,Power,5.51,,M€/GW,,,
GR,EE,Power,5.51,,M€/GW,,,
HR,EE,Power,5.51,,M€/GW,,,
HU,EE,Power,5.51,,M€/GW,,,
IE,EE,Power,5.51,,M€/GW,,,
IT,EE,Power,5.51,,M€/GW,,,
LU,EE,Power,5.51,,M€/GW,,,
ME,EE,Power,5.51,,M€/GW,,,
MK,EE,Power,5.51,,M€/GW,,,
NL,EE,Power,5.51,,M€/GW,,,
NO,EE,Power,5.51,,M€/GW,,,
PL,EE,Power,5.51,,M€/GW,,,
PT,EE,Power,5.51,,M€/GW,,,
RO,EE,Power,5.51,,M€/GW,,,
RS,EE,Power,5.51,,M€/GW,,,
SE,EE,Power,5.51,,M€/GW,,,
SI,EE,Power,5.51,,M€/GW,,,
SK,EE,Power,5.51,,M€/GW,,,
UK,EE,Power,5.51,,M€/GW,,,
EE,EE,Power,5.51,,M€/GW,,,
LT,EE,Power,5.51,,M€/GW,,,
LV,EE,Power,5.51,,M€/GW,,,
UA,EE,Power,5.51,,M€/GW,,,
RU,EE,Power,5.51,,M€/GW,,,
BY,EE,Power,5.51,,M€/GW,,,
NONEU_Balkan,EE,Power,5.51,,M€/GW,,,
TR,EE,Power,5.51,,M€/GW,,,
AL,LT,Power,5.51,,M€/GW,,,
AT,LT,Power,5.51,,M€/GW,,,
BA,LT,Power,5.51,,M€/GW,,,
BE,LT,Power,5.51,,M€/GW,,,
BG,LT,Power,5.51,,M€/GW,,,
CH,LT,Power,5.51,,M€/GW,,,
CZ,LT,Power,5.51,,M€/GW,,,
DE,LT,Power,5.51,,M€/GW,,,
DK,LT,Power,5.51,,M€/GW,,,
ES,LT,Power,5.51,,M€/GW,,,
FI,LT,Power,5.51,,M€/GW,,,
FR,LT,Power,5.51,,M€/GW,,,
GR,LT,Power,5.51,,M€/GW,,,
HR,LT,Power,5.51,,M€/GW,,,
HU,LT,Power,5.51,,M€/GW,,,
IE,LT,Power,5.51,,M€/GW,,,
IT,LT,Power,5.51,,M€/GW,,,
LU,LT,Power,5.51,,M€/GW,,,
ME,LT,Power,5.51,,M€/GW,,,
MK,LT,Power,5.51,,M€/GW,,,
NL,LT,Power,5.51,,M€/GW,,,
